Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,1uF/16V,1uF_0603,193.83,-64.71,90,top
C2,4.7uF/35V,4_7uF_0603,200.4,-67.24,0,top
C3,1uF/16V,1uF_0603,210.73,-64.43,90,top
C4,1uF/16V,1uF_0603,205.35,-64.91,-90,top
C5,100nF/50V,100nF_0402,183.1,-114.12,-90,top
C6,100nF/50V,100nF_0402,184.23,-96.01,90,top
C7,100nF/50V,100nF_0402,208.83,-127.34,180,top
C8,22uF35V,22uF_35V_Size_D,171.09,-69.5175,-90,top
C9,100nF/50V,100nF_0402,171.93,-85.82,180,top
C10,100nF/50V,100nF_0402,169.26,-85.82,180,top
C11,10uF/35V,10uF_35V_C,179.09,-87.16,90,top
C12,10uF/35V,10uF_35V_C,179.09,-95.76,-90,top
C13,100nF/50V,100nF_0402,175.55,-109.64,180,top
C14,22uF35V,22uF_35V_Size_D,177.66,-104.34,-90,top
C15,10nF/50V,10nF_0603,166.5,-93.76,90,top
C16,22uF35V,22uF_35V_Size_D,170.94,-108.97,-90,top
C17,22uF35V,22uF_35V_Size_D,177.24,-74.43,90,top
C18,22uF35V,22uF_35V_Size_D,171.09,-79.04,-90,top
C19,100nF/50V,100nF_0402,169.47,-87.56,0,top
C20,100nF/50V,100nF_0402,169.47,-89.01,0,top
C21,10uF/6.3V,10uF_10V_0603,200.41,-86.17,90,top
C22,100nF/50V,100nF_0402,197.79,-87.08,180,top
C23,100nF/50V,100nF_0402,189.49,-76.33,180,top
C24,100nF/50V,100nF_0402,190.85,-74.25,90,top
C25,100nF/50V,100nF_0402,200.69,-78.44,-90,top
C26,1nF/2kV,1nF_2kV_1206,209.66,-79.79,90,top
C27,100nF/50V,100nF_0402,187.3,-74.25,90,top
C28,100nF/50V,100nF_0402,193.91,-68.35,0,top
C29,100nF/50V,100nF_0402,192.9,-73.44,0,top
C30,10uF/6.3V,10uF_10V_0603,195.96,-72.3,90,top
C31,20pF/50V,20pF_0603,186.64,-76.29,0,top
C32,20pF/50V,20pF_0603,186.44,-84.89,180,top
C33,22uF6V3,22uF6V3_1206,148.8,-89.32,0,top
C34,100nF/50V,100nF_0402,147,-91.04,0,top
C35,100nF/50V,100nF_0402,141.87,-99.47,-90,top
C37,100nF/50V,100nF_0402,144.92256,-89.87044,180,top
C38,22uF6V3,22uF6V3_1206,140.1,-101.26,-90,top
C40,100nF/50V,100nF_0402,200,-120.41,-90,top
C41,100nF/50V,100nF_0402,183.13,-132.44,-90,top
